module,folder,key,title,componentType,typeLabel,slotId,slotLabel,kind,valueKind,allowedFieldTypes,required,value,srcTitle,srcYardTag,notes
dhw,heat-exchangers,1007,Consumers Exchanger,HeatExchanger,Heat exchanger,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhwTemperatureBoostingSupply,,,
dhw,heat-exchangers,1007,Consumers Exchanger,HeatExchanger,Heat exchanger,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhwFlowBoosting,,,
dhw,heat-exchangers,1007,Consumers Exchanger,HeatExchanger,Heat exchanger,custom.sideA,Custom › sideA,custom,customSource,,true,Side,,,
dhw,heat-exchangers,1007,Consumers Exchanger,HeatExchanger,Heat exchanger,custom.sideB,Custom › sideB,custom,customSource,,true,Top,,,
dhw,heat-exchangers,1007,Consumers Exchanger,HeatExchanger,Heat exchanger,custom.exchangeCircuit,Custom › exchangeCircuit,custom,customSource,,true,@instance:highTempLoop,,,
dhw,heat-exchangers,1008,Dc Exchanger,HeatExchanger,Heat exchanger,source,Source,source,,sensor:heatExchanger,true,dhwDcExchanger,,,
dhw,heat-exchangers,1008,Dc Exchanger,HeatExchanger,Heat exchanger,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhwTemperatureHvacExchangerReturn,,,
dhw,heat-exchangers,1008,Dc Exchanger,HeatExchanger,Heat exchanger,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhwTemperatureDcReturn,,,
dhw,heat-exchangers,1008,Dc Exchanger,HeatExchanger,Heat exchanger,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhwFlowDc,,,
dhw,heat-exchangers,1008,Dc Exchanger,HeatExchanger,Heat exchanger,custom.sideA,Custom › sideA,custom,customSource,,true,Side,,,
dhw,heat-exchangers,1008,Dc Exchanger,HeatExchanger,Heat exchanger,custom.sideB,Custom › sideB,custom,customSource,,true,Top,,,
dhw,heat-exchangers,1008,Dc Exchanger,HeatExchanger,Heat exchanger,custom.exchangeCircuit,Custom › exchangeCircuit,custom,customSource,,true,@instance:brightloop,,,
dhw,heat-exchangers,1009,Drives Exchanger,HeatExchanger,Heat exchanger,source,Source,source,,sensor:heatExchanger,true,dhwDrivesExchanger,,,
dhw,heat-exchangers,1009,Drives Exchanger,HeatExchanger,Heat exchanger,sensors.incoming,sensors › incoming,sensors,,sensor:temperature,true,dhwTemperatureHvacExchangerReturn,,,
dhw,heat-exchangers,1009,Drives Exchanger,HeatExchanger,Heat exchanger,sensors.outgoing,sensors › outgoing,sensors,,sensor:temperature,true,dhwTemperatureDrivesReturn,,,
dhw,heat-exchangers,1009,Drives Exchanger,HeatExchanger,Heat exchanger,sensors.flow,sensors › flow,sensors,,sensor:flow,true,dhwFlowDrives,,,
dhw,heat-exchangers,1009,Drives Exchanger,HeatExchanger,Heat exchanger,custom.sideA,Custom › sideA,custom,customSource,,true,Side,,,
dhw,heat-exchangers,1009,Drives Exchanger,HeatExchanger,Heat exchanger,custom.sideB,Custom › sideB,custom,customSource,,true,Top,,,
dhw,heat-exchangers,1009,Drives Exchanger,HeatExchanger,Heat exchanger,custom.exchangeCircuit,Custom › exchangeCircuit,custom,customSource,,true,@instance:drives,,,
dhw,level-sensors,1056-01,Level Tank1,LevelSensor,Level sensor,source,Source,source,,sensor:level,true,dhwLevelTank1,,,
dhw,level-sensors,1056-02,Level Tank2,LevelSensor,Level sensor,source,Source,source,,sensor:level,true,dhwLevelTank2,,,
dhw,level-sensors,1056-03,Level Tank3,LevelSensor,Level sensor,source,Source,source,,sensor:level,true,dhwLevelTank3,,,
dhw,level-switches,1098-01,Level Switch Tank1,LevelSwitch,Level switch,source,Source,source,,sensor:levelSwitch,true,dhwLevelSwitchTank1,,,
dhw,level-switches,1098-02,Level Switch Tank2,LevelSwitch,Level switch,source,Source,source,,sensor:levelSwitch,true,dhwLevelSwitchTank2,,,
dhw,level-switches,1098-03,Level Switch Tank3,LevelSwitch,Level switch,source,Source,source,,sensor:levelSwitch,true,dhwLevelSwitchTank3,,,
dhw,manual-valves,1069-10,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1069-10,,1069-10,
dhw,manual-valves,1069-17,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1069-17,,1069-17,
dhw,manual-valves,1069-18,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1069-18,,1069-18,
dhw,manual-valves,1168-04,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1168-04,,1168-04,
dhw,manual-valves,1168-05,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1168-05,,1168-05,
dhw,manual-valves,1168-06,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1168-06,,1168-06,
dhw,manual-valves,1169-01,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1169-01,,1169-01,
dhw,manual-valves,1169-02,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1169-02,,1169-02,
dhw,manual-valves,1169-03,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1169-03,,1169-03,
dhw,manual-valves,1174-01,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1174-01,,1174-01,
dhw,manual-valves,1174-02,,ManualValve,Manual valve,source,Source,source,,,true,dhw-manual-valve-1174-02,,1174-02,
dhw,pressure-sensors,1095-14,,PressureGauge,Pressure gauge,source,Source,source,,,true,dhw-manual-pressure-sensor-1095-14,,1095-14,
dhw,pressure-sensors,1097-11,Pressure,PressureSensor,Pressure sensor,source,Source,source,,sensor:pressure,true,dhwPressure,,,
dhw,pressure-sensors,1097-11,Pressure,PressureSensor,Pressure sensor,custom.controller,Custom › controller,custom,,,false,,,,
dhw,pressure-sensors,1097-11,Pressure,PressureSensor,Pressure sensor,controls.pump,controls › pump,controls,,control:pump,false,,,,
dhw,pressure-sensors,1097-11,Pressure,PressureSensor,Pressure sensor,parameters.flow,parameters › flow,parameters,,parameter:flowcontrol;parameter:flow,false,,,,
