module,section,field,componentType,valveType,yardTag,technicalName,friendlyName
dhw,parameters,heatpumpBoostingEnabled,parameter:enabled,,,heatpump-boosting-enabled,HeatpumpBoostingEnabled
dhw,parameters,htBoostingEnabled,parameter:enabled,,,ht-boosting-enabled,HtBoostingEnabled
dhw,parameters,heatpumpFlowSetpoint,parameter:flow,,,heatpump-flow-setpoint,HeatpumpFlowSetpoint
dhw,parameters,heatpumpTemperatureSetpoint,parameter:temperature,,,heatpump-temperature-setpoint,HeatpumpTemperatureSetpoint
dhw,parameters,htBoostingTemperatureSetpoint,parameter:temperature,,,ht-boosting-temperature-setpoint,HtBoostingTemperatureSetpoint
dhw,parameters,minimumTankTemperature,parameter:temperature,,,minimum-tank-temperature,MinimumTankTemperature
dhw,parameters,maximumTankTemperature,parameter:temperature,,,maximum-tank-temperature,MaximumTankTemperature
dhw,parameters,boostingDelta,parameter:dT,,,boosting-delta,BoostingDelta
dhw,parameters,drivesFlowcontrolMinimumSetpoint,parameter:flowcontrol,,,drives-flowcontrol-minimum-setpoint,DrivesFlowcontrolMinimumSetpoint
dhw,parameters,dcFlowcontrolMinimumSetpoint,parameter:flowcontrol,,,dc-flowcontrol-minimum-setpoint,DcFlowcontrolMinimumSetpoint
dhw,parameters,fillingTemperatureSetpoint,parameter:temperature,,,filling-temperature-setpoint,FillingTemperatureSetpoint
dhw,parameters,minimumTankLevel,parameter:level,,,minimum-tank-level,MinimumTankLevel
dhw,parameters,maximumTankLevel,parameter:level,,,maximum-tank-level,MaximumTankLevel
dhw,parameters,tank1Enabled,parameter:enabled,,,tank1-enabled,Tank1Enabled
dhw,parameters,tank2Enabled,parameter:enabled,,,tank2-enabled,Tank2Enabled
dhw,parameters,tank3Enabled,parameter:enabled,,,tank3-enabled,Tank3Enabled
dhw,parameters,pumpTemperatureTuning,parameter:tuning,,,pump-temperature-tuning,PumpTemperatureTuning
dhw,parameters,pumpFlowTuning,parameter:tuning,,,pump-flow-tuning,PumpFlowTuning
dhw,parameters,dcFlowTuning,parameter:tuning,,,dc-flow-tuning,DcFlowTuning
dhw,parameters,drivesFlowTuning,parameter:tuning,,,drives-flow-tuning,DrivesFlowTuning
dhw,controllerState,dhwTanksController,controller:dhwTanksController,,,dhw-tanks-controller,TanksController
